Game,Genres/Tags,Companies,Languages,Original Size,Repack Size,URL
LEGO The Incredibles + DLC,"Action, Third-person, 3D, 1337x, magnet, .torrent file only, RuTor, FreeTorrents, Tapochek.net, Filehoster: MultiUpload, JDownloader2, Filehoster: Upera, Discussion and (possible) future updates on CS.RIN.RU thread","Genres/Tags: Action , Third-person , 3D Companies: TT Games, Warner Bros. Interactive Entertainment Languages: RUS/ENG/MULTI13 Original Size: 13.8 GB Repack Size: from 4.6 GB [Selective Download] Download Mirrors 1337x [ magnet ] [ .torrent file only ] RuTor [ magnet ] ENG VO only FreeTorrents ENG VO only Tapochek.net ENG VO only Filehoster: MultiUpload (10+ hosters, interchangeable) [Use JDownloader2 ] Filehoster: Upera (Uploaded by Nice_2000, NOT compatible with other mirrors) Discussion and (possible) future updates on CS.RIN.RU thread Screenshots (Click to enlarge) Repack Features Based on LEGO.The.Incredibles-CODEX ISO release: codex-lego.the.incredibles.iso (14,850,260,992 bytes) Unlike most of my repacks this one is 100% Lossless but NOT MD5 Perfect: game resources were unpacked Parr Family Vacation Character Pack DLC is included and activated NOTHING ripped, NOTHING re-encoded Selective download feature – you can skip downloading and installing of voice packs you don’t need Significantly smaller archive size (compressed from 13.8 to 4.6~6.3 GB, depending on selected voicepacks) Installation takes 12-20 minutes (depending on your system and selected voicepacks) After-install integrity check so you could make sure that everything installed properly HDD space after installation: up to 25 GB Use “Language Selector.exe” in game root to change the game language At least 2 GB of free RAM (inc. virtual) required for installing this repack Game Description Experience the thrilling adventures of the Parr family as they conquer crime and family life through both Disney-Pixar films The Incredibles and Incredibles 2, in a LEGO® world full of fun and humor. LEGO® The Incredibles allows players to explore action-packed story levels and an epic hub world – including Municiberg, as they use their unique “Super” abilities to bring the city’s Super Villains to justice. Gamers can also team up with family and friends in 2 player co-op to assemble incredible LEGO® builds! Selective Download You can skip downloading of speech packs you don’t need. Here is the list of selective files:","Genres/Tags: Action , Third-person , 3D Companies: TT Games, Warner Bros. Interactive Entertainment Languages: RUS/ENG/MULTI13 Original Size: 13.8 GB Repack Size: from 4.6 GB [Selective Download] Download Mirrors 1337x [ magnet ] [ .torrent file only ] RuTor [ magnet ] ENG VO only FreeTorrents ENG VO only Tapochek.net ENG VO only Filehoster: MultiUpload (10+ hosters, interchangeable) [Use JDownloader2 ] Filehoster: Upera (Uploaded by Nice_2000, NOT compatible with other mirrors) Discussion and (possible) future updates on CS.RIN.RU thread Screenshots (Click to enlarge) Repack Features Based on LEGO.The.Incredibles-CODEX ISO release: codex-lego.the.incredibles.iso (14,850,260,992 bytes) Unlike most of my repacks this one is 100% Lossless but NOT MD5 Perfect: game resources were unpacked Parr Family Vacation Character Pack DLC is included and activated NOTHING ripped, NOTHING re-encoded Selective download feature – you can skip downloading and installing of voice packs you don’t need Significantly smaller archive size (compressed from 13.8 to 4.6~6.3 GB, depending on selected voicepacks) Installation takes 12-20 minutes (depending on your system and selected voicepacks) After-install integrity check so you could make sure that everything installed properly HDD space after installation: up to 25 GB Use “Language Selector.exe” in game root to change the game language At least 2 GB of free RAM (inc. virtual) required for installing this repack Game Description Experience the thrilling adventures of the Parr family as they conquer crime and family life through both Disney-Pixar films The Incredibles and Incredibles 2, in a LEGO® world full of fun and humor. LEGO® The Incredibles allows players to explore action-packed story levels and an epic hub world – including Municiberg, as they use their unique “Super” abilities to bring the city’s Super Villains to justice. Gamers can also team up with family and friends in 2 player co-op to assemble incredible LEGO® builds! Selective Download You can skip downloading of speech packs you don’t need. Here is the list of selective files:",13.8 GB,13.8 GB,https://fitgirl-repacks.site/lego-the-incredibles
LEGO Voyagers – v1.0.6,"Logic, Puzzle, 3D","Genres/Tags: Logic , Puzzle , 3D Companies: Light Brick Studio, Annapurna Interactive Languages: RUS/ENG/MULTI14 Original Size: 2.4 GB Repack Size: 1.6 GB","Genres/Tags: Logic , Puzzle , 3D Companies: Light Brick Studio, Annapurna Interactive Languages: RUS/ENG/MULTI14 Original Size: 2.4 GB Repack Size: 1.6 GB",2.4 GB,2.4 GB,https://fitgirl-repacks.site/lego-voyagers
LEGO Worlds,"Action, Exploration, Open world, Sandbox, Third-person, 3D","Genres/Tags: Action , Exploration , Open world , Sandbox , Third-person , 3D Companies: TT Games / Warner Bros. Interactive Entertainment Languages: RUS/ENG/MULTI20 Original Size: 2.1 GB Repack Size: from 861 MB","Genres/Tags: Action , Exploration , Open world , Sandbox , Third-person , 3D Companies: TT Games / Warner Bros. Interactive Entertainment Languages: RUS/ENG/MULTI20 Original Size: 2.1 GB Repack Size: from 861 MB",2.1 GB,2.1 GB,https://fitgirl-repacks.site/lego-worlds
Legrand Legacy: Tale of the Fatebounds – v1.0.2,"RPG, 3D models on 2D backgrounds, Turn-based","Genres/Tags: RPG , 3D models on 2D backgrounds , Turn-based Companies: Semisoft, Another Indie, Mayflower Entertainment Languages: ENG/CHI Original Size: 8 GB Repack Size: 2.5 GB","Genres/Tags: RPG , 3D models on 2D backgrounds , Turn-based Companies: Semisoft, Another Indie, Mayflower Entertainment Languages: ENG/CHI Original Size: 8 GB Repack Size: 2.5 GB",8 GB,8 GB,https://fitgirl-repacks.site/legrand-legacy-tale-of-the-fatebounds
Leila: Supporter Edition + Bonus DLC,"Adventure, Side, 2D","Genres/Tags: Adventure , Point and click, Side , 2D Companies: Ubik Studios Languages: RUS/ENG/MULTI13 Original Size: 1.3 GB Repack Size: 814/976 MB","Genres/Tags: Adventure , Point and click, Side , 2D Companies: Ubik Studios Languages: RUS/ENG/MULTI13 Original Size: 1.3 GB Repack Size: 814/976 MB",1.3 GB,1.3 GB,https://fitgirl-repacks.site/leila
Leisure Suit Larry: Wet Dreams Dry Twice – v1.0.0.52,"Adventure, Point-and-click, Side, 2D, 1337x, magnet, .torrent file only, RuTor, Tapochek.net, Filehoster: MultiUpload, JDownloader2, Filehoster: PixelDrain, Discussion and (possible) future updates on CS.RIN.RU thread","Genres/Tags: Adventure , Point-and-click , Side , 2D Companies: Crazy Bunch, Assemble Entertainment Languages: RUS/ENG/MULTI6 Original Size: 1.3 GB Repack Size: from 792 MB [Selective Download] Download Mirrors 1337x | [ magnet ] [ .torrent file only ] RuTor [ magnet ] Tapochek.net Filehoster: MultiUpload (10+ hosters, interchangeable) [Use JDownloader2 ] Filehoster: PixelDrain Discussion and (possible) future updates on CS.RIN.RU thread Screenshots (Click to enlarge) Repack Features Based on Leisure.Suit.Larry.Wet.Dreams.Dry.Twice-CODEX ISO release: codex-leisure.suit.larry.wet.dreams.dry.twice.iso (1,440,153,600 bytes) 100% Lossless & MD5 Perfect: all files are identical to originals after installation NOTHING ripped, NOTHING re-encoded Selective Download feature: you may skip downloading and installing of English and/or German voiceovers Significantly smaller archive size (compressed from 1.3 GB to 792 MB~1.1 GB, depending on selected components) Installation takes less than a minute After-install integrity check so you could make sure that everything installed properly HDD space after installation: up to 4.7 GB Language can be changed in game settings At least 2 GB of free RAM (inc. virtual) required for installing this repack Game Description Hey Ladies, it’s time to get wet again! I am not done yet and still dreaming of you in Leisure Suit Larry – Wet Dreams Dry Twice. I left New Lost Wages, stranded in Cancum, and had prepared to marry my only true love, Faith. But, unforeseen events interrupted us and we’ve become separated again! She is somewhere in the famous, sunny and huge Kalau’a archipelago and I have to find her. Help me — if I don’t find her soon, I think I may burst!","Genres/Tags: Adventure , Point-and-click , Side , 2D Companies: Crazy Bunch, Assemble Entertainment Languages: RUS/ENG/MULTI6 Original Size: 1.3 GB Repack Size: from 792 MB [Selective Download] Download Mirrors 1337x | [ magnet ] [ .torrent file only ] RuTor [ magnet ] Tapochek.net Filehoster: MultiUpload (10+ hosters, interchangeable) [Use JDownloader2 ] Filehoster: PixelDrain Discussion and (possible) future updates on CS.RIN.RU thread Screenshots (Click to enlarge) Repack Features Based on Leisure.Suit.Larry.Wet.Dreams.Dry.Twice-CODEX ISO release: codex-leisure.suit.larry.wet.dreams.dry.twice.iso (1,440,153,600 bytes) 100% Lossless & MD5 Perfect: all files are identical to originals after installation NOTHING ripped, NOTHING re-encoded Selective Download feature: you may skip downloading and installing of English and/or German voiceovers Significantly smaller archive size (compressed from 1.3 GB to 792 MB~1.1 GB, depending on selected components) Installation takes less than a minute After-install integrity check so you could make sure that everything installed properly HDD space after installation: up to 4.7 GB Language can be changed in game settings At least 2 GB of free RAM (inc. virtual) required for installing this repack Game Description Hey Ladies, it’s time to get wet again! I am not done yet and still dreaming of you in Leisure Suit Larry – Wet Dreams Dry Twice. I left New Lost Wages, stranded in Cancum, and had prepared to marry my only true love, Faith. But, unforeseen events interrupted us and we’ve become separated again! She is somewhere in the famous, sunny and huge Kalau’a archipelago and I have to find her. Help me — if I don’t find her soon, I think I may burst!",1.3 GB,1.3 GB,https://fitgirl-repacks.site/leisure-suit-larry-wet-dreams-dry-twice
Lemma,,,Company: Evan Todd Languages: ENG/POL Original Size: 431 MB Repack Size: 349 MB,431 MB,431 MB,https://fitgirl-repacks.site/lemma
Lemnis Gate – v1.1.24736 + Mettle Mantis DLC,"Action, Shooter, First-person, Turn-based, 3D","Genres/Tags: Action , Shooter , First-person , Turn-based , 3D Companies: Ratloop Games Canada, Frontier Foundry Languages: RUS/ENG/MULTI13 Original Size: 15.5 GB Repack Size: 9.7 GB","Genres/Tags: Action , Shooter , First-person , Turn-based , 3D Companies: Ratloop Games Canada, Frontier Foundry Languages: RUS/ENG/MULTI13 Original Size: 15.5 GB Repack Size: 9.7 GB",15.5 GB,15.5 GB,https://fitgirl-repacks.site/lemnis-gate
Lempo + Windows 7 Fix,"Adventure, First-person, 3D","Genres/Tags: Adventure , First-person , 3D Companies: One Trick Entertainment, PID Games, Gamersky Games Languages: ENG/MULTI8 Original Size: 8.4 GB Repack Size: 6.1 GB","Genres/Tags: Adventure , First-person , 3D Companies: One Trick Entertainment, PID Games, Gamersky Games Languages: ENG/MULTI8 Original Size: 8.4 GB Repack Size: 6.1 GB",8.4 GB,8.4 GB,https://fitgirl-repacks.site/lempo
LEMURIA – v1.2.5 + 2 DLCs,"Action, Shooter, Third-person, 3D",,"Genres/Tags: Action , Shooter , Third-person , 3D Company: amQuests Languages: RUS/ENG/MULTI14 Original Size: 13.9 GB Repack Size: 8.5 GB",13.9 GB,13.9 GB,https://fitgirl-repacks.site/lemuria
"Len’s Island: Deluxe Edition, v1.1.43 + 3 DLCs/Bonuses","Action, Item crafting, Open world, Survival, 3D","Genres/Tags: Action , Item crafting , Open world , Survival , 3D Companies: Flow Studio, Fireshine Games Languages: RUS/ENG/MULTI12 Original Size: 3.6 GB Repack Size: 1.6 GB","Genres/Tags: Action , Item crafting , Open world , Survival , 3D Companies: Flow Studio, Fireshine Games Languages: RUS/ENG/MULTI12 Original Size: 3.6 GB Repack Size: 1.6 GB",3.6 GB,3.6 GB,https://fitgirl-repacks.site/lens-island
"Lessaria: Fantasy Kingdom Sim – Deluxe Edition, v1.0.1464 + 2 DLCs","Strategy, Top, 3D, Real-time","Genres/Tags: Strategy , Top , 3D , Real-time Companies: Rockbee Team, Polden Publishing Languages: RUS/ENG/MULTI5 Original Size: 13.3 GB Repack Size: 3.9 GB","Genres/Tags: Strategy , Top , 3D , Real-time Companies: Rockbee Team, Polden Publishing Languages: RUS/ENG/MULTI5 Original Size: 13.3 GB Repack Size: 3.9 GB",13.3 GB,13.3 GB,https://fitgirl-repacks.site/lessaria-fantasy-kingdom-sim
LET IT DIE: Offline Edition – v5.0.1.0.0,"Action, Third-person, 3D, Japanese","Genres/Tags: Action , Third-person , 3D , Japanese Companies: GungHo Online Entertainment, Grasshopper Manufacture, Supertrick Games, GungHo Online Entertainment America Languages: ENG/MULTI10 Original Size: 27.6 GB Repack Size: 11.9 GB","Genres/Tags: Action , Third-person , 3D , Japanese Companies: GungHo Online Entertainment, Grasshopper Manufacture, Supertrick Games, GungHo Online Entertainment America Languages: ENG/MULTI10 Original Size: 27.6 GB Repack Size: 11.9 GB",27.6 GB,27.6 GB,https://fitgirl-repacks.site/let-it-die-offline-edition
Let Them Trade – v1.1.7.9 + Bonus OST,"Management, Strategy, Top, 3D","Genres/Tags: Management , Strategy , Top , 3D Companies: ByteRockers’ Games, Spaceflower Languages: ENG/MULTI9 Original Size: 1.9 GB Repack Size: 1 GB","Genres/Tags: Management , Strategy , Top , 3D Companies: ByteRockers’ Games, Spaceflower Languages: ENG/MULTI9 Original Size: 1.9 GB Repack Size: 1 GB",1.9 GB,1.9 GB,https://fitgirl-repacks.site/let-them-trade
Let’s Cook Together 2,"Arcade, Party game, 2D",,"Genres/Tags: Arcade , Party game , 2D Company: Yellow Dot Languages: ENG/MULTI8 Original Size: 3.5 GB Repack Size: 809 MB",3.5 GB,3.5 GB,https://fitgirl-repacks.site/lets-cook-together-2
Let’s Nuke Mars,"Simulation, First-person, 3D","Genres/Tags: Simulation , Point and click, First-person , 3D Companies: Jeremy Benisek (CyberAxe), OutLandishly Crafted Languages: ENG Original Size: 2.2 GB Repack Size: 1.4 GB","Genres/Tags: Simulation , Point and click, First-person , 3D Companies: Jeremy Benisek (CyberAxe), OutLandishly Crafted Languages: ENG Original Size: 2.2 GB Repack Size: 1.4 GB",2.2 GB,2.2 GB,https://fitgirl-repacks.site/lets-nuke-mars
Let’s! Revolution! Game & Soundtrack Bundle – v1.2.23 Gold + Bonus OST,"Logic, Puzzle, Top-down, 2D","Genres/Tags: Logic , Puzzle , Top-down , 2D Companies: Buck, Antfood, Hawthorn Games Languages: ENG/MULTI10 Original Size: 1.5 GB Repack Size: 386 MB","Genres/Tags: Logic , Puzzle , Top-down , 2D Companies: Buck, Antfood, Hawthorn Games Languages: ENG/MULTI10 Original Size: 1.5 GB Repack Size: 386 MB",1.5 GB,1.5 GB,https://fitgirl-repacks.site/lets-revolution
Lethal Honor: Order of the Apocalypse,"Action, Exploration, Dungeon crawl, Zombies","Genres/Tags: Action , Exploration , Dungeon crawl , Zombies Companies: HandyGames, Viral Studios Languages: ENG/MULTI5 Original Size: 2 GB Repack Size: 1.4 GB","Genres/Tags: Action , Exploration , Dungeon crawl , Zombies Companies: HandyGames, Viral Studios Languages: ENG/MULTI5 Original Size: 2 GB Repack Size: 1.4 GB",2 GB,2 GB,https://fitgirl-repacks.site/lethal-honor-order-of-the-apocalypse
Letters of Bernard Thorne,"Adventure, Horror, 3D, First-person",,"Genres/Tags: Adventure , Horror , 3D , First-person Company: Korean Linguistics Lab Languages: ENG/MULTI6 Original Size: 5 GB Repack Size: 3.4 GB",5 GB,5 GB,https://fitgirl-repacks.site/letters-of-bernard-thorne
Lex Mortis,,,,"2,5 GB","2,5 GB",https://fitgirl-repacks.site/lex-mortis
LiBER,"Action, Third-person, 3D",,"Genres/Tags: Action , Third-person , 3D Company: OLKON GAMES Languages: RUS/ENG Original Size: 18.3 GB Repack Size: 10.1 GB",18.3 GB,18.3 GB,https://fitgirl-repacks.site/liber
Liberated,"Arcade, Platform adventure, QTE, Side, Cyberpunk","Genres/Tags: Arcade , Platform adventure , QTE , Side , Cyberpunk Companies: Atomic Wolf, L.inc, Walkabout Games Languages: RUS/ENG/MULTI8 Original Size: 1.4 GB Repack Size: 889 MB","Genres/Tags: Arcade , Platform adventure , QTE , Side , Cyberpunk Companies: Atomic Wolf, L.inc, Walkabout Games Languages: RUS/ENG/MULTI8 Original Size: 1.4 GB Repack Size: 889 MB",1.4 GB,1.4 GB,https://fitgirl-repacks.site/liberated
Liberté – v1.0.1m,"RPG, Action RPG, Deck-building, Isometric, 3D","Genres/Tags: RPG , Action RPG , Deck-building , Isometric , 3D Companies: Superstatic, Anshar Studios Language: ENG Original Size: 1.8 GB Repack Size: 1.3 GB",,1.8 GB,1.8 GB,https://fitgirl-repacks.site/liberte
Liberty Prime,"RPG, Action RPG, Isometric, 3D",,,7.6 GB,7.6 GB,https://fitgirl-repacks.site/liberty-prime
Librarian: Tidy Up the Arcane Library! – v1.0.2,"Logic, First-person, 3D",,"Genres/Tags: Logic , First-person , 3D Company: ArtRising Languages: ENG/MULTI4 Original Size: 1.3 GB Repack Size: 735 MB",1.3 GB,1.3 GB,https://fitgirl-repacks.site/librarian-tidy-up-the-arcane-library
Library of Ruina – v1.1.0.5b1,"RPG, Deck-building, Side, Turn-based, 2D",,"Genres/Tags: RPG , Deck-building , Side , Turn-based , 2D Company: ProjectMoon Languages: ENG/MULTI5 Original Size: 3.4 GB Repack Size: 2.3 GB",3.4 GB,3.4 GB,https://fitgirl-repacks.site/library-of-ruina
"Lies of P: Overture Bundle, v1.8.0.0 + 4 DLCs/Bonuses + Windows 7 Fix","RPG, Action RPG, Third-person, 3D","Genres/Tags: RPG , Action RPG , Third-person , 3D Companies: Round8 Studio, Neowiz Games Languages: RUS/ENG/MULTI12 Original Size: 54.4 GB Repack Size: 34.9/35.2 GB","Genres/Tags: RPG , Action RPG , Third-person , 3D Companies: Round8 Studio, Neowiz Games Languages: RUS/ENG/MULTI12 Original Size: 54.4 GB Repack Size: 34.9/35.2 GB",54.4 GB,54.4 GB,https://fitgirl-repacks.site/lies-of-p
Life Below: Special Edition – v1.0.0 + 6 DLCs/Bonuses,"Managerial, Strategy, Top-down, 3D","Genres/Tags: Managerial , Strategy , Top-down , 3D Companies: Kasedo Games, Megapop Languages: RUS/ENG/MULTI9 Original Size: 3.4 GB Repack Size: 1.3/1.7 GB","Genres/Tags: Managerial , Strategy , Top-down , 3D Companies: Kasedo Games, Megapop Languages: RUS/ENG/MULTI9 Original Size: 3.4 GB Repack Size: 1.3/1.7 GB",3.4 GB,3.4 GB,https://fitgirl-repacks.site/life-below
Life is Strange Remastered,"Adventure, Third-person, 3D, 1337x, magnet, .torrent file only, RuTor, Tapochek.net, Filehoster: MultiUpload, JDownloader2, Filehoster: ZippyShare, Filehoster: BayFiles, Filehoster: OneDrive, Filehosters: Google Drive, OneDrive + others, Discussion and (possible) future updates on CS.RIN.RU thread","Genres/Tags: Adventure , Third-person , 3D Companies: Deck Nine, Square Enix Languages: RUS/ENG/MULTI9 Original Size: 21.6 GB Repack Size: from 11.9 GB [Selective Download] Download Mirrors 1337x | [ magnet ] [ .torrent file only ] RuTor [ magnet ] Tapochek.net Filehoster: MultiUpload (10+ hosters, interchangeable) [Use JDownloader2 ] Filehoster: ZippyShare Filehoster: BayFiles Filehoster: OneDrive (Uploaded by DyR0 t(-_-t), NOT compatible with other mirrors) Filehosters: Google Drive, OneDrive + others (Uploaded by crackhub213) Discussion and (possible) future updates on CS.RIN.RU thread Screenshots (Click to enlarge) Repack Features Based on Life.is.Strange.Remastered-CODEX ISO release: codex-life.is.strange.remastered.iso (23,220,846,592 bytes) 100% Lossless & MD5 Perfect: all files are identical to originals after installation (ONLY when installed with all components!) NOTHING ripped, NOTHING re-encoded Selective Download feature: you may skip downloading of useless Nintendo Switch videos, useless Stadia platform audio and useless Japanese voiceovers Significantly smaller archive size (compressed from 21.6 to 11.9~14.4 GB, depending on selected components) Installation takes 7-20 minutes (depending on your system and selected components) After-install integrity check so you could make sure that everything installed properly HDD space after installation: up to 41.7 GB Language can be changed in game settings Repack uses XTool library by Razor12911 At least 2 GB of free RAM (inc. virtual) required for installing this repack Game Description Experience the BAFTA award-winning story of Life is Strange now beautifully remastered with enhanced visuals and vastly improved animation using mocap technology. Play as Max Caulfield, a photography senior who discovers she can rewind time while saving her best friend Chloe Price from a violent altercation. The pair soon find themselves investigating the mysterious disappearance of fellow student Rachel Amber, uncovering a dark side to life in Arcadia Bay. Meanwhile, Max must quickly learn that changing the past can sometimes lead to a devastating future. REMASTERED EDITION: Return to Arcadia Bay and experience two award-winning Life is Strange games like never before! Remastered visuals and animation breathe new life into the great cast of characters and gripping stories. Remastered Edition Features Remastered visuals across characters and environments Vastly improved character animation using full facial mocap performance (Life is Strange Remastered only) Updated and refined gameplay puzzles Engine and lighting upgrades Includes previously released Deluxe Content: Chloe Outfits & ‘Farewell’ Bonus Episode Choice and consequence driven stories with multiple endings Harness the power of Max’s rewind ability or Chloe’s quick-witted attitude to change the course of events Distinct licensed soundtrack & original scores","Genres/Tags: Adventure , Third-person , 3D Companies: Deck Nine, Square Enix Languages: RUS/ENG/MULTI9 Original Size: 21.6 GB Repack Size: from 11.9 GB [Selective Download] Download Mirrors 1337x | [ magnet ] [ .torrent file only ] RuTor [ magnet ] Tapochek.net Filehoster: MultiUpload (10+ hosters, interchangeable) [Use JDownloader2 ] Filehoster: ZippyShare Filehoster: BayFiles Filehoster: OneDrive (Uploaded by DyR0 t(-_-t), NOT compatible with other mirrors) Filehosters: Google Drive, OneDrive + others (Uploaded by crackhub213) Discussion and (possible) future updates on CS.RIN.RU thread Screenshots (Click to enlarge) Repack Features Based on Life.is.Strange.Remastered-CODEX ISO release: codex-life.is.strange.remastered.iso (23,220,846,592 bytes) 100% Lossless & MD5 Perfect: all files are identical to originals after installation (ONLY when installed with all components!) NOTHING ripped, NOTHING re-encoded Selective Download feature: you may skip downloading of useless Nintendo Switch videos, useless Stadia platform audio and useless Japanese voiceovers Significantly smaller archive size (compressed from 21.6 to 11.9~14.4 GB, depending on selected components) Installation takes 7-20 minutes (depending on your system and selected components) After-install integrity check so you could make sure that everything installed properly HDD space after installation: up to 41.7 GB Language can be changed in game settings Repack uses XTool library by Razor12911 At least 2 GB of free RAM (inc. virtual) required for installing this repack Game Description Experience the BAFTA award-winning story of Life is Strange now beautifully remastered with enhanced visuals and vastly improved animation using mocap technology. Play as Max Caulfield, a photography senior who discovers she can rewind time while saving her best friend Chloe Price from a violent altercation. The pair soon find themselves investigating the mysterious disappearance of fellow student Rachel Amber, uncovering a dark side to life in Arcadia Bay. Meanwhile, Max must quickly learn that changing the past can sometimes lead to a devastating future. REMASTERED EDITION: Return to Arcadia Bay and experience two award-winning Life is Strange games like never before! Remastered visuals and animation breathe new life into the great cast of characters and gripping stories. Remastered Edition Features Remastered visuals across characters and environments Vastly improved character animation using full facial mocap performance (Life is Strange Remastered only) Updated and refined gameplay puzzles Engine and lighting upgrades Includes previously released Deluxe Content: Chloe Outfits & ‘Farewell’ Bonus Episode Choice and consequence driven stories with multiple endings Harness the power of Max’s rewind ability or Chloe’s quick-witted attitude to change the course of events Distinct licensed soundtrack & original scores",21.6 GB,21.6 GB,https://fitgirl-repacks.site/life-is-strange-remastered
Life is Strange: Before the Storm Remastered + ‘Zombie Crypt’ Outfit DLC,"Adventure, Third-person, 3D","Genres/Tags: Adventure , Third-person , 3D Companies: Deck Nine, Square Enix Languages: RUS/ENG/MULTI9 Original Size: 19 GB Repack Size: 8.9 GB","Genres/Tags: Adventure , Third-person , 3D Companies: Deck Nine, Square Enix Languages: RUS/ENG/MULTI9 Original Size: 19 GB Repack Size: 8.9 GB",19 GB,19 GB,https://fitgirl-repacks.site/life-is-strange-before-the-storm-remastered
Life is Strange: Before the Storm – The Limited Edition,"Adventure, Third-person, 3D","Genres/Tags: Adventure , Third-person , 3D Companies: Deck Nine Games / Square Enix Languages: RUS/ENG/MULTI8 Original Size: 19.8 GB Repack Size: 8.88 GB No Chinese was requesting the size!","Genres/Tags: Adventure , Third-person , 3D Companies: Deck Nine Games / Square Enix Languages: RUS/ENG/MULTI8 Original Size: 19.8 GB Repack Size: 8.88 GB No Chinese was requesting the size!",19.8 GB,19.8 GB,https://fitgirl-repacks.site/life-is-strange-before-the-storm-the-limited-edition
Life is Strange: Complete Season 1 (Episodes 1-5),,,Company: Square Enix Languages: ENG/FRA Original Size: 10.6 GB Repack Size: 7.7 GB,10.6 GB,10.6 GB,https://fitgirl-repacks.site/life-is-strange-complete-season-1-episodes-1-5
